,participantId,gameId,role,lane,creepsPerMinDeltas_0-10,xpPerMinDeltas_0-10,goldPerMinDeltas_0-10,csDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_0-10,damageTakenPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_0-10,creepsPerMinDeltas_10-20,xpPerMinDeltas_10-20,goldPerMinDeltas_10-20,csDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_10-20,damageTakenPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_10-20,creepsPerMinDeltas_20-30,xpPerMinDeltas_20-30,goldPerMinDeltas_20-30,csDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_20-30,damageTakenPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_20-30,creepsPerMinDeltas_30-end,xpPerMinDeltas_30-end,goldPerMinDeltas_30-end,csDiffPerMinDeltas_30-end,xpDiffPerMinDeltas_30-end,damageTakenPerMinDeltas_30-end,damageTakenDiffPerMinDeltas_30-end
240,1,3406556578,SOLO,TOP,6.1,423.0,239.70000000000002,1.4000000000000004,5.199999999999989,623.3,89.00000000000003,5.6,550.7,295.2,-2.0999999999999996,-99.20000000000002,1143.6,658.8,3.4000000000000004,370.9,337.8,-0.09999999999999987,81.89999999999998,1490.9,507.9,2.3,348.7,237.60000000000002,1.3000000000000003,38.29999999999998,2088.8,345.20000000000005
241,2,3406556578,DUO_CARRY,BOTTOM,8.1,310.0,254.9,-0.6500000000000001,2.3000000000000114,161.8,-57.19999999999999,6.2,369.9,315.9,-0.9499999999999997,-130.10000000000002,644.8,-143.9499999999999,5.0,574.1,353.8,-0.04999999999999982,114.85000000000002,591.2,-451.54999999999995,6.0,454.1,405.6,0.050000000000000266,-164.54999999999998,946.6999999999999,-188.69999999999987
242,3,3406556578,NONE,JUNGLE,0.1,365.2,287.1,-1.2,0.4000000000000057,592.0,-73.19999999999999,1.5,393.1,414.7,0.8000000000000002,-19.100000000000023,682.3,-537.0,1.4,473.0,393.5,-0.8,33.20000000000002,939.8,74.59999999999997,2.0,357.4,278.9,0.6999999999999998,-223.60000000000002,1411.9,56.5
243,4,3406556578,SOLO,MIDDLE,9.0,512.2,384.6,1.5000000000000004,25.100000000000023,120.30000000000001,-202.7,7.2,490.70000000000005,461.0,0.10000000000000009,-2.4000000000000057,645.2,112.19999999999999,4.0,458.5,401.4,0.5000000000000004,182.0,926.8,343.0,6.699999999999999,490.0,392.4,2.1999999999999997,-4.200000000000017,851.2,340.20000000000005
244,5,3406556578,DUO_SUPPORT,BOTTOM,0.1,261.6,145.3,-0.6500000000000001,2.3000000000000114,189.6,-57.19999999999999,0.30000000000000004,337.5,234.6,-0.9499999999999997,-130.10000000000002,648.9000000000001,-143.9499999999999,0.30000000000000004,447.2,336.1,-0.04999999999999982,114.85000000000002,777.5999999999999,-451.54999999999995,0.4,374.2,235.3,0.050000000000000266,-164.54999999999998,995.4000000000001,-188.69999999999987
490,6,3406556578,NONE,JUNGLE,1.3,364.79999999999995,316.6,1.2,-0.4000000000000057,665.2,73.19999999999999,0.7,412.20000000000005,460.6,-0.8000000000000002,19.100000000000023,1219.3,537.0,2.2,439.79999999999995,405.2,0.8,-33.20000000000002,865.2,-74.59999999999997,1.3,581.0,391.29999999999995,-0.6999999999999998,223.60000000000002,1355.4,-56.5
491,7,3406556578,DUO_CARRY,BOTTOM,8.3,315.1,295.0,0.6500000000000001,-2.3000000000000114,212.9,57.19999999999999,7.3,590.6,569.9,0.9499999999999997,130.10000000000002,880.7,143.9499999999999,5.0,533.6,548.7,0.04999999999999982,-114.85000000000002,1278.8,451.54999999999995,5.9,670.2,592.0,-0.050000000000000266,164.54999999999998,1311.8,188.69999999999987
492,8,3406556578,SOLO,MIDDLE,7.5,487.1,263.70000000000005,-1.5000000000000004,-25.100000000000023,323.0,202.7,7.1,493.1,383.7,-0.10000000000000009,2.4000000000000057,533.0,-112.19999999999999,3.5,276.5,266.6,-0.5000000000000004,-182.0,583.8,-343.0,4.5,494.20000000000005,343.8,-2.1999999999999997,4.200000000000017,511.0,-340.20000000000005
493,9,3406556578,SOLO,TOP,4.699999999999999,417.8,300.0,-1.4000000000000004,-5.199999999999989,534.3,-89.00000000000003,7.699999999999999,649.9000000000001,428.4,2.0999999999999996,99.20000000000002,484.8,-658.8,3.5,289.0,269.3,0.09999999999999987,-81.89999999999998,983.0,-507.9,1.0,310.4,248.2,-1.3000000000000003,-38.29999999999998,1743.6,-345.20000000000005
494,10,3406556578,DUO_SUPPORT,BOTTOM,1.2,251.9,155.2,0.6500000000000001,-2.3000000000000114,252.9,57.19999999999999,1.1,377.0,351.6,0.9499999999999997,130.10000000000002,700.9,143.9499999999999,0.4,258.0,230.0,0.04999999999999982,-114.85000000000002,993.1,451.54999999999995,0.4,487.20000000000005,226.5,-0.050000000000000266,164.54999999999998,1007.7,188.69999999999987
