,summonerName,participantId,gameId,gameCreation,gameDuration,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,teamId_team,win_team,firstBlood_team,firstTower_team,firstInhibitor_team,firstBaron_team,firstDragon_team,firstRiftHerald_team,towerKills_team,inhibitorKills_team,baronKills_team,dragonKills_team,riftHeraldKills_team,ban1,ban2,ban3,ban4,ban5,role,lane,creepsPerMinDeltas_0-10,xpPerMinDeltas_0-10,goldPerMinDeltas_0-10,csDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_0-10,damageTakenPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_0-10,creepsPerMinDeltas_10-20,xpPerMinDeltas_10-20,goldPerMinDeltas_10-20,csDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_10-20,damageTakenPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_10-20,creepsPerMinDeltas_20-30,xpPerMinDeltas_20-30,goldPerMinDeltas_20-30,csDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_20-30,damageTakenPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_20-30,creepsPerMinDeltas_30-end,xpPerMinDeltas_30-end,goldPerMinDeltas_30-end,csDiffPerMinDeltas_30-end,xpDiffPerMinDeltas_30-end,damageTakenPerMinDeltas_30-end,damageTakenDiffPerMinDeltas_30-end,championId,spell1Id,spell2Id
148,Backfire Billy,1,3406556578,1588664207089,2407,3379,3111,3373,3075,1054,1011,3340,3,10,14,0,1,0,552,0,0,0,0,149243,90119,58920,203,34,22211,15040,6967,203,4666,1,97928,2044,858,23,63,53466,16958,33036,3471,11617,11550,0,0,174,8,4,0,789,17,2,13,3,False,False,False,False,False,False,8437,1464,1248,0,8446,416,0,0,8429,70,25,19,8451,300,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5003,100,Fail,True,False,False,True,False,False,2,0,1,4,0,"{'championId': 350, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 131, 'pickTurn': 3}","{'championId': 24, 'pickTurn': 4}","{'championId': 25, 'pickTurn': 5}",DUO_CARRY,BOTTOM,7.6,305.8,259.9,0.40000000000000013,7.749999999999957,195.70000000000002,-7.90000000000002,6.5,444.9,400.5,0.19999999999999973,117.34999999999997,551.5,38.5,3.9,492.8,490.1,-0.9500000000000002,111.55000000000001,637.7,-77.75000000000003,,,,,,,,29.0,7.0,4.0
248,Kakashî Hatake,2,3406556578,1588664207089,2407,2421,3140,3371,3006,3094,3508,3363,5,9,12,2,1,2,652,0,0,0,0,215964,7465,186911,21587,934,24978,2261,22619,97,1945,4,14673,10465,2025,14,9,23445,7574,15576,294,13815,13050,1,0,253,0,0,0,108,17,0,9,2,False,False,False,False,False,False,8008,2,30,0,8009,2397,500,0,9103,30,50,0,8014,615,0,0,8224,703,0,0,8236,48,0,0,8000,8200,5005,5008,5002,100,Fail,True,False,False,True,False,False,2,0,1,4,0,"{'championId': 350, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 131, 'pickTurn': 3}","{'championId': 24, 'pickTurn': 4}","{'championId': 25, 'pickTurn': 5}",NONE,JUNGLE,0.4,347.79999999999995,279.9,-0.29999999999999993,5.699999999999989,551.5999999999999,-61.30000000000007,2.3,532.9,473.5,2.2,51.900000000000034,1079.6,-247.5,,,,,,,,,,,,,,,203.0,4.0,11.0
348,TBBC KDumpling ,3,3406556578,1588664207089,2407,1026,3386,3151,3158,3116,1402,3364,9,6,16,3,1,3,633,0,0,0,0,158101,132107,16708,9285,0,30988,27387,1307,2293,9651,1,17591,24021,307,39,54,36260,15546,18861,1851,14255,12925,0,0,50,108,80,8,632,16,3,6,6,False,False,False,False,False,False,8128,1638,23,0,8126,1260,0,0,8138,30,0,0,8135,5815,5,0,8347,0,0,0,8304,9,0,0,8100,8300,5007,5008,5002,100,Fail,True,False,False,True,False,False,2,0,1,4,0,"{'championId': 350, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 131, 'pickTurn': 3}","{'championId': 24, 'pickTurn': 4}","{'championId': 25, 'pickTurn': 5}",SOLO,MIDDLE,6.9,468.1,237.0,0.19999999999999973,31.400000000000006,293.70000000000005,-16.39999999999999,5.6,469.5,477.79999999999995,-0.3999999999999999,-50.99999999999997,798.9,147.2,,,,,,,,,,,,,,,103.0,14.0,4.0
448,Vectra,4,3406556578,1588664207089,2407,3136,3030,3135,3020,3198,3374,3340,8,5,14,3,2,2,738,1,0,0,0,249322,236016,10705,2600,0,41932,41343,263,326,6905,1,23095,7947,2648,37,40,25435,11164,12649,1620,16907,15675,1,0,269,20,20,0,566,18,7,19,7,True,False,False,False,False,False,8230,19,0,0,8226,250,1412,0,8210,0,0,0,8237,754,0,0,8139,1670,0,0,8135,3709,5,0,8200,8100,5008,5008,5003,100,Fail,True,False,False,True,False,False,2,0,1,4,0,"{'championId': 350, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 131, 'pickTurn': 3}","{'championId': 24, 'pickTurn': 4}","{'championId': 25, 'pickTurn': 5}",DUO_SUPPORT,BOTTOM,0.5,266.29999999999995,203.1,0.6000000000000001,11.900000000000034,341.9,-39.349999999999994,2.7,529.4,428.1,1.35,134.84999999999997,503.4,-271.74999999999994,,,,,,,,,,,,,,,143.0,14.0,4.0
548,Sernyri,5,3406556578,1588664207089,2407,3853,3190,3382,3504,3174,0,3364,7,9,16,3,1,2,771,0,0,0,0,26451,20023,4794,1633,0,13986,10884,1516,1585,35703,5,23038,5772,1434,77,16,26115,13435,12113,566,10028,9275,0,0,11,4,0,0,27,15,1,39,8,False,False,False,False,False,False,8214,374,5123,0,8226,250,1108,0,8210,16,0,0,8237,454,0,0,8347,0,0,0,8321,10,0,0,8200,8300,5007,5008,5002,100,Fail,True,False,False,True,False,False,2,0,1,4,0,"{'championId': 350, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 131, 'pickTurn': 3}","{'championId': 24, 'pickTurn': 4}","{'championId': 25, 'pickTurn': 5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,DGelo,6,3406556578,1588664207089,2407,1402,3089,3157,3100,3020,3152,3340,12,8,12,4,2,4,575,3,0,0,0,229246,180899,38480,9865,0,33639,29428,2587,1623,19558,1,27603,21312,1107,35,30,41051,23248,16872,930,16250,15800,1,0,55,152,99,12,603,17,2,15,6,False,False,False,False,False,False,8128,1493,19,0,8143,1091,0,0,8138,30,0,0,8135,9315,5,0,8304,9,0,0,8347,0,0,0,8100,8300,5005,5008,5002,200,Win,False,True,True,False,True,True,10,1,1,1,1,"{'championId': 58, 'pickTurn': 6}","{'championId': 523, 'pickTurn': 7}","{'championId': 64, 'pickTurn': 8}","{'championId': 2, 'pickTurn': 9}","{'championId': 350, 'pickTurn': 10}",DUO_CARRY,BOTTOM,5.8,326.1,310.6,-0.6000000000000001,-11.900000000000034,500.2,39.349999999999994,6.0,503.6,418.2,-1.35,-134.84999999999997,1199.0,271.74999999999994,,,,,,,,,,,,,,,75.0,4.0,12.0
298,Jørge,7,3406556578,1588664207089,2407,3042,3139,3078,3156,3033,3158,3363,19,4,8,6,4,4,1045,5,1,1,0,348167,28292,271751,48124,0,62574,14016,44720,3838,6997,3,31677,21846,8771,26,23,36842,18858,17330,653,20570,17863,4,0,265,39,13,15,240,18,0,13,2,False,False,False,False,False,True,8010,1998,0,0,8009,10172,500,0,9103,20,10,0,8014,1056,0,0,8304,9,4,5,8347,0,0,0,8000,8300,5005,5008,5002,200,Win,False,True,True,False,True,True,10,1,1,1,1,"{'championId': 58, 'pickTurn': 6}","{'championId': 523, 'pickTurn': 7}","{'championId': 64, 'pickTurn': 8}","{'championId': 2, 'pickTurn': 9}","{'championId': 350, 'pickTurn': 10}",SOLO,MIDDLE,6.9,474.79999999999995,282.0,-0.19999999999999973,-49.70000000000002,413.1,-113.50000000000003,6.5,491.79999999999995,352.9,-1.5999999999999996,-11.5,636.9,134.09999999999997,4.9,490.29999999999995,408.2,-1.8000000000000003,-152.40000000000006,1129.8,263.79999999999995,,,,,,,,7.0,14.0,4.0
398,Simonori,8,3406556578,1588664207089,2407,3031,2033,3508,3085,3035,3006,3340,1,6,13,0,1,0,796,0,0,0,0,187919,3403,169465,15050,749,22585,2703,19881,0,2782,1,9431,13342,4803,46,74,19508,12187,7099,222,13091,12650,3,1,226,0,0,0,915,17,4,14,3,False,False,False,True,True,False,8021,1776,0,0,9101,760,966,0,9104,15,50,0,8014,383,0,0,8233,24,50,0,8236,48,0,0,8000,8200,5005,5008,5001,200,Win,False,True,True,False,True,True,10,1,1,1,1,"{'championId': 58, 'pickTurn': 6}","{'championId': 523, 'pickTurn': 7}","{'championId': 64, 'pickTurn': 8}","{'championId': 2, 'pickTurn': 9}","{'championId': 350, 'pickTurn': 10}",DUO_SUPPORT,BOTTOM,0.1,283.6,166.7,-0.40000000000000013,-7.749999999999957,242.89999999999998,7.90000000000002,0.7,280.1,225.2,-0.19999999999999973,-117.34999999999997,456.2,-38.5,3.0,388.9,265.9,0.9500000000000002,-111.55000000000001,658.8,77.75000000000003,,,,,,,,518.0,14.0,4.0
498,ExhaustMyHoles,9,3406556578,1588664207089,2407,3193,0,3068,3111,3742,3194,3364,4,7,8,3,1,1,932,0,0,0,0,147274,102833,39062,5378,0,15483,10801,2998,1683,1857,1,88665,7793,7793,36,70,37457,23727,12254,1475,12972,12775,2,0,169,24,12,8,678,17,3,3,5,False,False,False,False,False,True,8439,1216,0,0,8446,4397,0,0,8473,1300,0,0,8451,239,0,0,8126,654,0,0,8106,4,0,0,8400,8100,5008,5008,5002,200,Win,False,True,True,False,True,True,10,1,1,1,1,"{'championId': 58, 'pickTurn': 6}","{'championId': 523, 'pickTurn': 7}","{'championId': 64, 'pickTurn': 8}","{'championId': 2, 'pickTurn': 9}","{'championId': 350, 'pickTurn': 10}",DUO_SUPPORT,BOTTOM,1.1,265.1,182.3,,,391.0,,0.8999999999999999,368.1,353.6,,,829.9000000000001,,,,,,,,,,,,,,,,555.0,14.0,4.0
598,Boi im DJH,10,3406556578,1588664207089,2407,3860,2055,3190,3117,3109,3050,3364,3,7,20,3,1,1,1055,0,0,0,0,20482,8228,6472,5782,0,9266,6056,2550,659,3305,1,32336,1277,620,95,37,29546,21944,6378,1223,10148,9200,0,0,31,0,0,0,144,15,12,44,9,False,False,False,False,False,False,8465,2470,0,0,8446,447,0,0,8444,1267,0,0,8451,176,0,0,8352,54,275,0,8306,0,0,0,8400,8300,5007,5002,5001,200,Win,False,True,True,False,True,True,10,1,1,1,1,"{'championId': 58, 'pickTurn': 6}","{'championId': 523, 'pickTurn': 7}","{'championId': 64, 'pickTurn': 8}","{'championId': 2, 'pickTurn': 9}","{'championId': 350, 'pickTurn': 10}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
