,summonerName,participantId,gameId,gameCreation,gameDuration,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,teamId_team,win_team,firstBlood_team,firstTower_team,firstInhibitor_team,firstBaron_team,firstDragon_team,firstRiftHerald_team,towerKills_team,inhibitorKills_team,baronKills_team,dragonKills_team,riftHeraldKills_team,ban1,ban2,ban3,ban4,ban5,role,lane,creepsPerMinDeltas_0-10,xpPerMinDeltas_0-10,goldPerMinDeltas_0-10,csDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_0-10,damageTakenPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_0-10,creepsPerMinDeltas_10-20,xpPerMinDeltas_10-20,goldPerMinDeltas_10-20,csDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_10-20,damageTakenPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_10-20,creepsPerMinDeltas_20-30,xpPerMinDeltas_20-30,goldPerMinDeltas_20-30,csDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_20-30,damageTakenPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_20-30,creepsPerMinDeltas_30-end,xpPerMinDeltas_30-end,goldPerMinDeltas_30-end,csDiffPerMinDeltas_30-end,xpDiffPerMinDeltas_30-end,damageTakenPerMinDeltas_30-end,damageTakenDiffPerMinDeltas_30-end,championId,spell1Id,spell2Id
0,Backfire Billy,1,3406556578,1.58866E+12,2407,3379,3111,3373,3075,1054,1011,3340,3,10,14,0,1,0,552,0,0,0,0,149243,90119,58920,203,34,22211,15040,6967,203,4666,1,97928,2044,858,23,63,53466,16958,33036,3471,11617,11550,0,0,174,8,4,0,789,17,2,13,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8437,1464,1248,0,8446,416,0,0,8429,70,25,19,8451,300,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5003,100,Fail,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,1,4,0,"{'championId': 350, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 131, 'pickTurn': 3}","{'championId': 24, 'pickTurn': 4}","{'championId': 25, 'pickTurn': 5}",SOLO,TOP,6.1,423,239.7,1.4,5.2,623.3,89,5.6,550.7,295.2,-2.1,-99.2,1143.6,658.8,3.4,370.9,337.8,-0.1,81.9,1490.9,507.9,2.3,348.7,237.6,1.3,38.3,2088.8,345.2,516,4,12
1,Kakashî Hatake,2,3406556578,1.58866E+12,2407,2421,3140,3371,3006,3094,3508,3363,5,9,12,2,1,2,652,0,0,0,0,215964,7465,186911,21587,934,24978,2261,22619,97,1945,4,14673,10465,2025,14,9,23445,7574,15576,294,13815,13050,1,0,253,0,0,0,108,17,0,9,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8008,2,30,0,8009,2397,500,0,9103,30,50,0,8014,615,0,0,8224,703,0,0,8236,48,0,0,8000,8200,5005,5008,5002,100,Fail,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,1,4,0,"{'championId': 350, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 131, 'pickTurn': 3}","{'championId': 24, 'pickTurn': 4}","{'championId': 25, 'pickTurn': 5}",DUO_CARRY,BOTTOM,8.1,310,254.9,-0.65,2.3,161.8,-57.2,6.2,369.9,315.9,-0.95,-130.1,644.8,-143.95,5,574.1,353.8,-0.05,114.85,591.2,-451.55,6,454.1,405.6,0.05,-164.55,946.7,-188.7,21,7,4
2,TBBC KDumpling ,3,3406556578,1.58866E+12,2407,1026,3386,3151,3158,3116,1402,3364,9,6,16,3,1,3,633,0,0,0,0,158101,132107,16708,9285,0,30988,27387,1307,2293,9651,1,17591,24021,307,39,54,36260,15546,18861,1851,14255,12925,0,0,50,108,80,8,632,16,3,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8128,1638,23,0,8126,1260,0,0,8138,30,0,0,8135,5815,5,0,8347,0,0,0,8304,9,0,0,8100,8300,5007,5008,5002,100,Fail,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,1,4,0,"{'championId': 350, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 131, 'pickTurn': 3}","{'championId': 24, 'pickTurn': 4}","{'championId': 25, 'pickTurn': 5}",NONE,JUNGLE,0.1,365.2,287.1,-1.2,0.4,592,-73.2,1.5,393.1,414.7,0.8,-19.1,682.3,-537,1.4,473,393.5,-0.8,33.2,939.8,74.6,2,357.4,278.9,0.7,-223.6,1411.9,56.5,63,11,4
3,Vectra,4,3406556578,1.58866E+12,2407,3136,3030,3135,3020,3198,3374,3340,8,5,14,3,2,2,738,1,0,0,0,249322,236016,10705,2600,0,41932,41343,263,326,6905,1,23095,7947,2648,37,40,25435,11164,12649,1620,16907,15675,1,0,269,20,20,0,566,18,7,19,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8230,19,0,0,8226,250,1412,0,8210,0,0,0,8237,754,0,0,8139,1670,0,0,8135,3709,5,0,8200,8100,5008,5008,5003,100,Fail,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,1,4,0,"{'championId': 350, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 131, 'pickTurn': 3}","{'championId': 24, 'pickTurn': 4}","{'championId': 25, 'pickTurn': 5}",SOLO,MIDDLE,9,512.2,384.6,1.5,25.1,120.3,-202.7,7.2,490.7,461,0.1,-2.4,645.2,112.2,4,458.5,401.4,0.5,182,926.8,343,6.7,490,392.4,2.2,-4.2,851.2,340.2,112,4,12
4,Sernyri,5,3406556578,1.58866E+12,2407,3853,3190,3382,3504,3174,0,3364,7,9,16,3,1,2,771,0,0,0,0,26451,20023,4794,1633,0,13986,10884,1516,1585,35703,5,23038,5772,1434,77,16,26115,13435,12113,566,10028,9275,0,0,11,4,0,0,27,15,1,39,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8214,374,5123,0,8226,250,1108,0,8210,16,0,0,8237,454,0,0,8347,0,0,0,8321,10,0,0,8200,8300,5007,5008,5002,100,Fail,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,1,4,0,"{'championId': 350, 'pickTurn': 1}","{'championId': 89, 'pickTurn': 2}","{'championId': 131, 'pickTurn': 3}","{'championId': 24, 'pickTurn': 4}","{'championId': 25, 'pickTurn': 5}",DUO_SUPPORT,BOTTOM,0.1,261.6,145.3,-0.65,2.3,189.6,-57.2,0.3,337.5,234.6,-0.95,-130.1,648.9,-143.95,0.3,447.2,336.1,-0.05,114.85,777.6,-451.55,0.4,374.2,235.3,0.05,-164.55,995.4,-188.7,37,14,4
5,DGelo,6,3406556578,1.58866E+12,2407,1402,3089,3157,3100,3020,3152,3340,12,8,12,4,2,4,575,3,0,0,0,229246,180899,38480,9865,0,33639,29428,2587,1623,19558,1,27603,21312,1107,35,30,41051,23248,16872,930,16250,15800,1,0,55,152,99,12,603,17,2,15,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8128,1493,19,0,8143,1091,0,0,8138,30,0,0,8135,9315,5,0,8304,9,0,0,8347,0,0,0,8100,8300,5005,5008,5002,200,Win,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,10,1,1,1,1,"{'championId': 58, 'pickTurn': 6}","{'championId': 523, 'pickTurn': 7}","{'championId': 64, 'pickTurn': 8}","{'championId': 2, 'pickTurn': 9}","{'championId': 350, 'pickTurn': 10}",NONE,JUNGLE,1.3,364.8,316.6,1.2,-0.4,665.2,73.2,0.7,412.2,460.6,-0.8,19.1,1219.3,537,2.2,439.8,405.2,0.8,-33.2,865.2,-74.6,1.3,581,391.3,-0.7,223.6,1355.4,-56.5,245,4,11
6,Jørge,7,3406556578,1.58866E+12,2407,3042,3139,3078,3156,3033,3158,3363,19,4,8,6,4,4,1045,5,1,1,0,348167,28292,271751,48124,0,62574,14016,44720,3838,6997,3,31677,21846,8771,26,23,36842,18858,17330,653,20570,17863,4,0,265,39,13,15,240,18,0,13,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8010,1998,0,0,8009,10172,500,0,9103,20,10,0,8014,1056,0,0,8304,9,4,5,8347,0,0,0,8000,8300,5005,5008,5002,200,Win,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,10,1,1,1,1,"{'championId': 58, 'pickTurn': 6}","{'championId': 523, 'pickTurn': 7}","{'championId': 64, 'pickTurn': 8}","{'championId': 2, 'pickTurn': 9}","{'championId': 350, 'pickTurn': 10}",DUO_CARRY,BOTTOM,8.3,315.1,295,0.65,-2.3,212.9,57.2,7.3,590.6,569.9,0.95,130.1,880.7,143.95,5,533.6,548.7,0.05,-114.85,1278.8,451.55,5.9,670.2,592,-0.05,164.55,1311.8,188.7,81,7,4
7,Simonori,8,3406556578,1.58866E+12,2407,3031,2033,3508,3085,3035,3006,3340,1,6,13,0,1,0,796,0,0,0,0,187919,3403,169465,15050,749,22585,2703,19881,0,2782,1,9431,13342,4803,46,74,19508,12187,7099,222,13091,12650,3,1,226,0,0,0,915,17,4,14,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8021,1776,0,0,9101,760,966,0,9104,15,50,0,8014,383,0,0,8233,24,50,0,8236,48,0,0,8000,8200,5005,5008,5001,200,Win,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,10,1,1,1,1,"{'championId': 58, 'pickTurn': 6}","{'championId': 523, 'pickTurn': 7}","{'championId': 64, 'pickTurn': 8}","{'championId': 2, 'pickTurn': 9}","{'championId': 350, 'pickTurn': 10}",SOLO,MIDDLE,7.5,487.1,263.7,-1.5,-25.1,323,202.7,7.1,493.1,383.7,-0.1,2.4,533,-112.2,3.5,276.5,266.6,-0.5,-182,583.8,-343,4.5,494.2,343.8,-2.2,4.2,511,-340.2,22,12,4
8,ExhaustMyHoles,9,3406556578,1.58866E+12,2407,3193,0,3068,3111,3742,3194,3364,4,7,8,3,1,1,932,0,0,0,0,147274,102833,39062,5378,0,15483,10801,2998,1683,1857,1,88665,7793,7793,36,70,37457,23727,12254,1475,12972,12775,2,0,169,24,12,8,678,17,3,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8439,1216,0,0,8446,4397,0,0,8473,1300,0,0,8451,239,0,0,8126,654,0,0,8106,4,0,0,8400,8100,5008,5008,5002,200,Win,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,10,1,1,1,1,"{'championId': 58, 'pickTurn': 6}","{'championId': 523, 'pickTurn': 7}","{'championId': 64, 'pickTurn': 8}","{'championId': 2, 'pickTurn': 9}","{'championId': 350, 'pickTurn': 10}",SOLO,TOP,4.7,417.8,300,-1.4,-5.2,534.3,-89,7.7,649.9,428.4,2.1,99.2,484.8,-658.8,3.5,289,269.3,0.1,-81.9,983,-507.9,1,310.4,248.2,-1.3,-38.3,1743.6,-345.2,111,14,4
9,Boi im DJH,10,3406556578,1.58866E+12,2407,3860,2055,3190,3117,3109,3050,3364,3,7,20,3,1,1,1055,0,0,0,0,20482,8228,6472,5782,0,9266,6056,2550,659,3305,1,32336,1277,620,95,37,29546,21944,6378,1223,10148,9200,0,0,31,0,0,0,144,15,12,44,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8465,2470,0,0,8446,447,0,0,8444,1267,0,0,8451,176,0,0,8352,54,275,0,8306,0,0,0,8400,8300,5007,5002,5001,200,Win,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,10,1,1,1,1,"{'championId': 58, 'pickTurn': 6}","{'championId': 523, 'pickTurn': 7}","{'championId': 64, 'pickTurn': 8}","{'championId': 2, 'pickTurn': 9}","{'championId': 350, 'pickTurn': 10}",DUO_SUPPORT,BOTTOM,1.2,251.9,155.2,0.65,-2.3,252.9,57.2,1.1,377,351.6,0.95,130.1,700.9,143.95,0.4,258,230,0.05,-114.85,993.1,451.55,0.4,487.2,226.5,-0.05,164.55,1007.7,188.7,53,14,4
